Property Name,State,Location,Lat,Long,City ,Street & Number,Other Names,County,Total #,1960s,1970s,1970s_change,1980s,1980s_change,1990s,1990s_change,2000s,2000s_change,2010s,2010s_change
Roche-a-Cri Petroglyphs,WISCONSIN,"Adams County, WI, USA",43.969455,-89.774758,Friendship,Address Restricted," Friendship Glyphs; 47-AD-50, 47-Ad-94",Adams,3,0,0,0,2,0,0.5,0,0.5,0,1,50
Old Ashland Post Office,WISCONSIN,"Ashland County, WI, USA",47.051207,-90.444297,Ashland,601 West Second St.,,Ashland,42,0,10,100,12,40,6,40,10,40,4,-150
Barron County Pipestone Quarry,WISCONSIN,"Barron County, WI, USA",45.42367,-91.84835,Rice Lake,Address Restricted, Pipestone Quarry,Barron,10,0,2,100,1,33.34,2,33.34,3,33.34,2,-50
"Boutin, Frank, Jr., House",WISCONSIN,"Bayfield County, WI, USA",46.670227,-91.229545,Bayfield,7 Rice St.,,Bayfield,24,0,8,100,6,0,3,0,3,0,4,25
Cotton House,WISCONSIN,"Brown County, WI, USA",44.478809,-87.99618,Green Bay,2640 South Webster Ave.,,Brown,55,0,10,100,6,18.19,9,18.19,11,18.19,19,42.11
Fugina House,WISCONSIN,"Buffalo County, WI, USA",44.39653,-91.731985,Fountain City,348 S. Main St.,,Buffalo,13,0,4,100,8,0,1,0,1,0,0.5,-100
Northwest and XY Company Trading Post Sites,WISCONSIN,"Burnett County, WI, USA",45.869842,-92.367575,Webster,Address Restricted,,Burnett,9,0,1,100,5,-100,2,-100,1,-100,0.5,-100
Ridge Group,WISCONSIN,"Calumet County, WI, USA",44.090003,-88.218052,Chilton,Address Restricted, Gasch Mound Group (47 Ct 7),Calumet,10,0,1,100,4,-300,4,-300,1,-300,0.5,-100
Cook-Rutledge House,WISCONSIN,"Chippewa County, WI, USA",45.074438,-91.27986,Chippewa Falls,505 W. Grand Ave.," Rand,E. D., House",Chippewa,12,0,1,100,6,-400,5,-400,1,-400,0.5,-100
Clark County Jail,WISCONSIN,"Clark County, WI, USA",44.738868,-90.616128,Neillsville,215 E. 5th St.,,Clark,22,0,1,100,1,80,2,80,10,80,8,-25
Fort Winnebago Surgeon's Quarters,WISCONSIN,"Columbia County, WI, USA",43.461867,-89.3263,Portage,0.1 mi. & of corporate city limits on WI 33,,Columbia,59,0,12,100,6,21.06,15,21.06,19,21.06,7,-171.43
Astor Fur Warehouse,WISCONSIN,"Crawford County, WI, USA",43.246569,-90.898374,Prairie du Chien,"Water St., St. Feriole Island", American Fur Company Warehouse,Crawford,28,5,6,16.67,4,57.15,3,57.15,7,57.15,3,-133.34
"LaFollette, Robert M., House",WISCONSIN,"Dane County, WI, USA",43.075193,-89.423867,Maple Bluff,733 Lakewood Blvd.,,Dane,250,2,40,95,87,-25,55,-25,44,-25,22,-100
Williams Free Library,WISCONSIN,"Dodge County, WI, USA",43.41528,-88.707514,Beaver Dam,105 Park Ave.,,Dodge,34,0,8,100,9,-125,9,-125,4,-125,4,0
Eagle Bluff Lighthouse,WISCONSIN,"Door County, WI, USA",45.016525,-87.014718,Fish Creek,"3.5 mi. N of Fish Creek on Shore Rd.,in Peninsula State Park", Eagle Lighthouse,Door,74,0,8,100,22,45,11,45,20,45,13,-53.85
Brule-St. Croix Portage,WISCONSIN,"Douglas County, WI, USA",46.457214,-91.892304,Solon Springs,Brule River State Park,,Douglas,19,0,4,100,12,50,1,50,2,50,1,-100
"Tainter, Louis Smith, House",WISCONSIN,"Dunn County, WI, USA",44.946199,-91.893004,Menomonie,Broadway at Crescent,,Dunn,8,0,2,100,1,50,1,50,2,50,2,0
"Community House, First Congregational Church",WISCONSIN,"Eau Claire County, WI, USA",44.726937,-91.285971,Eau Claire,310 Broadway," Community House,First Congregational United Church of Christ",Eau Claire,64,0,5,100,32,85.72,3,85.72,21,85.72,3,-600
Fern School,WISCONSIN,"Florence County, WI, USA",45.851303,-88.398194,Florence,SW of Florence on WI 101,,Florence,6,0,0,0,3,-100,1,-100,0.5,-100,3,83.34
Octagon House,WISCONSIN,"Fond du Lac County, WI, USA",43.762674,-88.488206,Fond du Lac,276 Linden St.,,Fond Du Lac,50,0,11,100,8,35.72,9,35.72,14,35.72,8,-75
Franklin Lake Campground,WISCONSIN,"Forest County, WI, USA",45.633723,-88.838565,Alvin,National Forest Rd. 2181, Franklin Lake Campground and Recreation Facility;Forest Serv,Forest,10,0,0,0,1,-50,3,-50,2,-50,4,50
Stonefield,WISCONSIN,"Grant County, WI, USA",42.87612,-90.676633,Cassville,"2.5 mi. W of Cassville, on CR VV", Nelson Dewey Plantation,Grant,34,0,8,100,11,12.5,7,12.5,8,12.5,0.5,-1500
"West, Gen. Francis H., House",WISCONSIN,"Green County, WI, USA",42.680497,-89.602179,Monroe,1410 17th Ave., The Octagon House,Green,27,0,11,100,4,50,3,50,6,50,3,-100
Hamilton-Brooks Site,WISCONSIN,"Green Lake County, WI, USA",43.800956,-89.030508,Berlin,Address Restricted, The Mascoutin Village,Green Lake,15,0,1,100,1,-100,8,-100,4,-100,1,-300
Pendarvis,WISCONSIN,"Iowa County, WI, USA",42.990172,-90.139396,Mineral Point,114 Shake Rag St.,,Iowa,38,0,10,100,9,-700,16,-700,2,-700,1,-100
Old Iron County Courthouse,WISCONSIN,"Iron County, WI, USA",46.300725,-90.264435,Hurley,303 Iron St.,,Iron,5,0,2,100,1,-300,2,-300,0.5,-300,0.5,0
Silver Mound Archeological District,WISCONSIN,"Jackson County, WI, USA",44.323019,-90.941513,Alma Center,Address Restricted,,Jackson,5,0,3,100,1,75,0.5,75,2,75,0.5,-300
Aztalan,WISCONSIN,"Jefferson County, WI, USA",43.020209,-88.775848,Lake Mills,"Near Lake Mills on WI 89, Aztalan State Park",,Jefferson,60,1,15,93.34,17,75,3,75,12,75,12,0
"Boorman, Benjamin, House",WISCONSIN,"Juneau County, WI, USA",43.915519,-90.145385,Mauston,211 N. Union St.,,Juneau,8,0,3,100,2,-100,2,-100,1,-100,0.5,-100
"Weed, Justin, House",WISCONSIN,"Kenosha County, WI, USA",42.580337,-87.653207,Kenosha,3509 Washington Rd.,,Kenosha,27,0,7,100,7,77.78,2,77.78,9,77.78,2,-350
Pilgrim Family Farmstead,WISCONSIN,"Kewaunee County, WI, USA",44.501591,-87.307247,Kewaunee,SW of Kewanee on Church Rd.,,Kewaunee,12,0,1,100,1,-25,5,-25,4,-25,1,-300
"Garland, Hamlin, House",WISCONSIN,"La Crosse County, WI, USA",43.898033,-91.115218,West Salem,357 W. Garland St.,,La Crosse,60,0,9,100,25,-140,12,-140,5,-140,9,44.45
First Capitol,WISCONSIN,"Lafayette County, WI, USA",42.661137,-90.131729,Belmont,N of Belmont off U.S. 151, Wisconsin Territorial Capitol,Lafayette,11,0,3,100,2,-300,4,-300,1,-300,1,0
Langlade County Courthouse,WISCONSIN,"Langlade County, WI, USA",45.27017,-89.079428,Antigo,800 Clermont St.,,Langlade,5,0,2,100,1,0,1,0,1,0,0.5,-100
"Scott, T. B., Free Library",WISCONSIN,"Lincoln County, WI, USA",45.337752,-89.734598,Merrill,E. 1st St.,,Lincoln,6,0,3,100,1,-100,2,-100,1,-100,0.5,-100
"Vilas, Joseph, Jr., House",WISCONSIN,"Manitowoc County, WI, USA",44.110851,-87.512333,Manitowoc,610-616 N. 8th St., Vilas-Rahr House,Manitowoc,36,0,1,100,9,42.86,4,42.86,7,42.86,15,53.34
"Stewart, Hiram C., House",WISCONSIN,"Marathon County, WI, USA",44.902391,-89.759064,Wausau,521 Grant St.,,Marathon,30,0,3,100,16,0,3,0,3,0,5,40
Peshtigo Fire Cemetery,WISCONSIN,"Marinette County, WI, USA",45.458308,-88.091771,Peshtigo,Oconto Ave. between Peck and Ellis Aves.,,Marinette,12,0,2,100,1,-66.67,5,-66.67,3,-66.67,1,-200
Marquette County Courthouse and Marquette County Sheriff's Office and Jail,WISCONSIN,"Marquette County, WI, USA",43.812538,-89.410377,Montello,77 W. Park St., 1030741846;1020751833;0502783014;1031771749;0902712;02047721,Marquette,4,0,0,0,2,0,1,0,1,0,0.5,-100
Saint Joseph of the Lake Church and Cemetery,WISCONSIN,"Menominee County, WI, USA",45.015461,-88.664904,Menominee Reservation,Address Restricted, South Branch Church; BME 001,Menominee,1,0,0,0,0.5,50,0.5,50,1,50,0.5,-100
"Church, Benjamin, House",WISCONSIN,"Milwaukee County, WI, USA",43.017071,-87.580553,Shorewood,"Parkway Dr., Eastabrook Park", Kilbourntown House,Milwaukee,268,0,43,100,115,-27.59,37,-27.59,29,-27.59,44,34.1
Tomah Public Library,WISCONSIN,"Monroe County, WI, USA",43.943076,-90.617823,Tomah,716 Superior Ave.,,Monroe,13,0,1,100,5,33.34,2,33.34,3,33.34,2,-50
Oconto Site,WISCONSIN,"Oconto County, WI, USA",44.850043,-88.074017,Oconto,Copper Culture State Park,,Oconto,26,1,7,85.72,5,57.15,3,57.15,7,57.15,3,-133.34
First National Bank,WISCONSIN,"Oneida County, WI, USA",45.72735,-89.521718,Rhinelander,8 W. Davenport St.,,Oneida,25,0,1,100,2,53.85,6,53.85,13,53.85,3,-333.34
"Grignon, Charles A., House",WISCONSIN,"Outagamie County, WI, USA",44.416758,-88.464925,Kaukauna,Augustine St.,,Outagamie,50,0,5,100,23,-140,12,-140,5,-140,5,0
Covered Bridge,WISCONSIN,"Ozaukee County, WI, USA",43.367477,-87.594387,Cedarburg,1 Mi. N of Five Corners over Cedar Creek,,Ozaukee,41,0,9,100,8,54.55,5,54.55,11,54.55,8,-37.5
Durand Free Library,WISCONSIN,"Pepin County, WI, USA",44.482114,-92.140142,Durand,315 W. 2nd Ave.,,Pepin,2,0,0,0,2,-100,1,-100,0.5,-100,0.5,0
Diamond Bluff Site-Mero Mound Group,WISCONSIN,"Pierce County, WI, USA",44.713818,-92.428922,Diamond Bluff,Address Restricted, 47-Pi-2;See Also:Mero Archeological District (Boundary Incre,Pierce,10,0,2,100,3,0,2,0,2,0,1,-100
Seven Pines Lodge,WISCONSIN,"Polk County, WI, USA",45.446912,-92.39773,Lewis,SE of Lewis of WI 35, Charles E. Lewis Estate,Polk,14,0,1,100,6,83.34,1,83.34,6,83.34,1,-500
"Morgan, J. H., House",WISCONSIN,"Portage County, WI, USA",44.465006,-89.501433,Plover,1308 Madison Ave.,,Portage,20,0,4,100,4,-100,6,-100,3,-100,3,0
"Johnson, Albin, Log House",WISCONSIN,"Price County, WI, USA",45.680327,-90.361387,Ogema,E of Ogema, Our Yesterday House,Price,13,0,3,100,3,50,2,50,4,50,1,-300
First Presbyterian Church,WISCONSIN,"Racine County, WI, USA",42.75499,-87.696113,Racine,716 College Ave.,,Racine,56,0,18,100,21,20,4,20,5,20,8,37.5
"A. D. German Wholesale Company and Warehouse, Additional Documentation",WISCONSIN,"Richland County, WI, USA",43.377323,-90.429451,Richland Center,"177 E. Haseltine St., 316 S. Church St.",,Richland,16,0,1,100,3,0,6,0,6,0,0.5,-1100
Tallman House,WISCONSIN,"Rock County, WI, USA",42.671864,-89.071555,Janesville,440 N. Jackson St., Lincoln-Tallman House;Tallman Homestead,Rock,141,0,39,100,59,-77.78,16,-77.78,9,-77.78,18,50
Flambeau Mission Church,WISCONSIN,"Rusk County, WI, USA",45.465365,-91.133149,Ladysmith,W of Ladysmith, St. Francis of Assisi Mission Church,Rusk,3,0,1,100,1,0,0.5,0,0.5,0,1,50
Ringling Brothers Circus Headquarters,WISCONSIN,"Sauk County, WI, USA",43.416993,-89.948362,Baraboo,"Bounded roughly by Water, Brian, Lynn, and East Sts.", Ringlingville,Sauk,59,1,7,85.72,21,-120,11,-120,5,-120,14,64.29
Hall-Raynor Stopping Place,WISCONSIN,"Sawyer County, WI, USA",45.897783,-91.168025,Ojibwa,N of Ojibwa on WI G, The Raynor Place,Sawyer,4,0,1,100,2,-100,1,-100,0.5,-100,1,50
Lutheran Indian Mission,WISCONSIN,"Shawano County, WI, USA",44.811306,-88.863563,Gresham,NE of Gresham on WI G, Immanuel Mohican Lutheran Church,Shawano,6,0,0,0,1,0,2,0,2,0,1,-100
"Wade, Sylvanus, House",WISCONSIN,"Sheboygan County, WI, USA",43.718011,-87.634801,Greenbush,At jct. of WI 23 and Kettle Maraine Dr. in Old Wade House State Park, Old Wade House,Sheboygan,57,0,6,100,20,-14.29,8,-14.29,7,-14.29,16,56.25
"Moffat, John S., House",WISCONSIN,"St. Croix County, WI, USA",45.035871,-92.45279,Hudson,1004 3rd St.,,St. Croix,31,0,3,100,25,66.67,1,66.67,3,66.67,0.5,-500
Jump River Town Hall,WISCONSIN,"Taylor County, WI, USA",45.204124,-90.501241,Jump River,S of WI 73, McKinley Town Hall,Taylor,8,0,1,100,4,-100,2,-100,1,-100,0.5,-100
Schwert Mound Group,WISCONSIN,"Trempealeau County, WI, USA",44.303277,-91.354078,Trempealeau,Address Restricted, Trempealeau Lakes Mound Group Tr 31 and Second Lake village,Trempealeau,16,0,2,100,9,-50,3,-50,2,-50,0.5,-300
Hanson Petroglyphs,WISCONSIN,"Vernon County, WI, USA",43.574687,-90.834376,Viola,Address Restricted, VE-48,Vernon,24,0,5,100,6,-50,6,-50,4,-50,3,-33.34
Strawberry Island Site,WISCONSIN,"Vilas County, WI, USA",46.059476,-89.514756,Lac du Flambeau,Address Restricted, 47 Vi-25,Vilas,18,0,1,100,0.5,-80,9,-80,5,-80,3,-66.67
"Webster, Joseph P., House",WISCONSIN,"Walworth County, WI, USA",42.668925,-88.541918,Elkhorn,9 E. Rockwell St.,,Walworth,47,0,10,100,13,-50,9,-50,6,-50,9,33.34
"Siegner, George V., House",WISCONSIN,"Washburn County, WI, USA",45.898284,-91.787812,Spooner,513 Dale St.,,Washburn,2,0,0,0,2,-100,1,-100,0.5,-100,0.5,0
Lizard Mound State Park,WISCONSIN,"Washington County, WI, USA",43.368033,-88.230774,West Bend,NE of West Bend,,Washington,28,0,3,100,12,0,5,0,5,0,3,-66.67
Chapel of St. Mary the Virgin,WISCONSIN,"Waukesha County, WI, USA",43.017596,-88.304544,Nashotah,2 mi. SW of Nashotah on Nashotah House Rd.,,Waukesha,155,0,18,100,99,-575,27,-575,4,-575,7,42.86
"Kasper, Philip H., Cheese Factory",WISCONSIN,"Waupaca County, WI, USA",44.461208,-88.964814,Bear Creek,W of Bear Creek on WI 22, Nicholson Cheese Factory,Waupaca,25,0,2,100,11,77.78,2,77.78,9,77.78,1,-800
"Waushara County Courthouse, Waushara County Sheriff's Residence and Jail",WISCONSIN,"Waushara County, WI, USA",44.11311,-89.242877,Wautoma,209 St. Marie St., 1030741846;1020751833;0502783014;1031771749;0902712;02047721,Waushara,3,0,0,0,2,-100,1,-100,0.5,-100,0.5,0
Oshkosh Grand Opera House,WISCONSIN,"Winnebago County, WI, USA",44.069109,-88.644646,Oshkosh,100 High Ave.,,Winnebago,90,0,17,100,33,-257.15,25,-257.15,7,-257.15,8,12.5
Wakeley's Tavern,WISCONSIN,"Wood County, WI, USA",44.467104,-90.057421,Nekoosa,W end of Wakeley Rd., Old Ferry Farm,Wood,22,0,2,100,1,61.54,5,61.54,13,61.54,2,-550
